Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
586030,Archlebov,752,416,415,25,0,0,47,1,12,49,9,2,3,1,1,39,1,10,89,0,0,73,0,3,1,0,46,3,0
586048,Blatnice pod Svatým Antonínkem,1 733,1 066,1 055,101,1,1,70,4,50,61,7,9,42,0,2,74,2,40,247,0,2,199,0,7,2,1,133,0,0
586056,Blatnička,356,239,238,16,0,0,14,0,10,17,3,0,1,0,0,23,0,4,58,0,5,42,0,0,0,2,43,0,0
586072,Bukovany,618,380,372,35,0,0,43,0,5,42,4,5,3,0,0,52,0,9,78,0,1,53,1,0,1,0,39,1,0
586081,Bzenec,3 501,2 016,2 004,235,4,1,153,2,72,181,17,15,23,0,0,135,3,45,625,1,6,135,0,19,3,3,323,2,1
586099,Čejč,1 019,643,630,70,0,0,42,0,35,61,10,5,6,0,1,78,0,8,180,0,0,52,0,2,5,2,72,1,0
586102,Čejkovice,2 107,1 258,1 256,164,3,2,80,0,51,107,15,15,21,1,0,112,6,65,304,0,4,152,0,10,9,4,128,3,0
586111,Čeložnice,337,217,216,11,0,0,12,1,13,21,1,5,5,0,0,16,0,3,76,0,0,22,0,1,1,0,25,2,1
586129,Dambořice,1 079,634,624,19,0,1,65,2,19,47,5,7,6,0,1,38,1,8,183,0,1,122,0,4,0,4,89,1,1
586137,Dolní Bojanovice,2 349,1 566,1 530,73,5,0,61,0,102,54,15,4,35,1,5,91,2,40,269,0,11,583,1,7,6,1,161,3,0
